	DATE AND TIME			TRANSACTION		AMOUNT		AVAILABLE_BALANCE
 Thu Jun 17 15:52:18 2021		Withdraw		20.000			13000.000
 Thu Jun 17 15:52:23 2021		Deposit			12000.000			25000.000
 Thu Jun 17 23:11:47 2021		Deposit			200.000			25200.000
 Thu Jun 17 23:11:57 2021		Withdraw		4000.000			21200.000
 Thu Jun 17 23:28:01 2021		Deposit			200.000			21400.000
 Thu Jun 17 23:48:34 2021		Deposit			300.000			21700.000
 Thu Jun 17 23:59:51 2021		Deposit			200.000			21900.000
 Fri Jun 18 00:03:04 2021		Deposit			120.000			22020.000
 Fri Jun 18 00:03:11 2021		Withdraw		350.000			21670.000
 Fri Jun 18 00:05:57 2021		Deposit			30.000			21700.000
 Fri Jun 18 00:06:06 2021		Withdraw		200.000			21500.000
 Mon Jun 28 22:30:36 2021		Deposit			300.000			21800.000
 Mon Jun 28 22:30:45 2021		Withdraw		12000.000			9800.000
 Sat Jul 10 21:49:10 2021		Deposit			300.000			10100.000
 Sat Jul 10 21:49:18 2021		Withdraw		1000.000			9100.000
 Sat Jul 10 21:49:46 2021		Withdraw		200.000			8900.000
 Sat Jul 10 21:49:54 2021		Deposit			1100.000			10000.000
